0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.454198,0.57,0.296,0.444
0.445856,0.57,0.296,0.444
0.447402,0.57,0.296,0.444
0.423528,0.57,0.296,0.444
0.410366,0.57,0.296,0.444
0.382281,0.57,0.296,0.444
0.323817,0.485726,0.296,0.444
0.296,0.444,0.261213,0.39182
0.296,0.444,0.252685,0.379027
0.296,0.444,0.244429,0.366644
0.296,0.444,0.242103,0.363154
0.296,0.444,0.240555,0.360832
0.296,0.444,0.23371,0.350565
0.296,0.444,0.245675,0.368513
0.296,0.444,0.261089,0.391634
0.305542,0.458313,0.296,0.444
0.357933,0.536899,0.296,0.444
0.394676,0.57,0.296,0.444
0.414557,0.57,0.296,0.444
0.425857,0.57,0.296,0.444
0.43969,0.57,0.296,0.444
0.448837,0.57,0.296,0.444
0.453904,0.57,0.296,0.444
0.455855,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
0.456,0.57,0.296,0.444
