44.5061377,0
42.15577385,0
39.55483765,0
37.35686715,0
35.1939606,0
33.7825016,0
32.63078555,0
31.7719884,0
30.2340294,0
28.63187645,0
26.8034261,0
25.3463839,0
23.94031935,0
21.4925856,0
19.91794435,0
17.70519505,0
15.35936635,0
12.8342391,0
10.0598308,0
5.51852085,0
3.21848355,0
0,0
0,0
0,9.6544419
0,10.57505585
0,10.4125849
0,10.90187155
0,9.95908155
0,9.3881876
0,8.39149085
0,6.728649
0,0
0,0
4.5611066,0
10.5987601,0
5.13927395,0
24.2572415,0
26.384036,0
33.0349436,0
36.1653691,0
37.8059555,0
39.34013835,0
40.83960055,0
42.21354845,0
43.076588,0
43.94430525,0
43.97397475,0
43.5494312,0
